Designator,Quantity,Value,Footprint,LCSC Part #
C1,1,0.1uF,0402,C1525
C2,1,15pF,0402,C1548
D1-24,24,LED_A,0603,C72043
D25-40,16,LED_D,0603,C72038
D41-52,12,LED_R,0603,C72041
D53-58,6,LED_B,0603,C2286
D59-60,2,LED_W,0603,C2290
RN1-15,15,1K Ohm,"SMD,2x1mm",C25726
X1,1,8MHz,3225,C387338
J1,1,USB_B_Micro,micro_usb_U-F-M5SS-W-1,C145783
